:START_ID(Owner),:END_ID(Property),:TYPE,ownershipType,ownershipPercentage:float,startDate,endDate,acquisitionPrice:long,isCurrent:boolean,originalJointId,sourceSystem
ENT_001946,1006 0 49E,OWNS,PRIMARY,100.0,1984-10-31,,0,True,,ASSESSOR
ENT_000562,1006 0 5,OWNS,PRIMARY,100.0,2007-07-25,,590000,True,,ASSESSOR
ENT_010900,1006 0 50,OWNS,PRIMARY,100.0,2018-08-01,,535000,True,,ASSESSOR
ENT_010582,1006 0 53A,OWNS,PRIMARY,100.0,1999-12-31,,175000,True,,ASSESSOR
ENT_001455,1006 0 57,OWNS,PRIMARY,100.0,1991-02-19,,1,True,,ASSESSOR
ENT_000880,1006 0 59,OWNS,PRIMARY,100.0,2003-02-14,,440000,True,,ASSESSOR
ENT_010561,1006 0 6,OWNS,PRIMARY,100.0,2015-10-01,,750000,True,,ASSESSOR
ENT_003014,1006 0 60,OWNS,PRIMARY,100.0,2024-05-01,,1300000,True,,ASSESSOR
ENT_009458,1006 0 61,OWNS,PRIMARY,100.0,1982-08-20,,0,True,,ASSESSOR
ENT_010189,1006 0 62,OWNS,PRIMARY,100.0,2001-07-05,,200500,True,,ASSESSOR
ENT_010863,1006 0 63,OWNS,PRIMARY,100.0,2024-08-26,,1,True,,ASSESSOR
ENT_006586,1006 0 64,OWNS,PRIMARY,100.0,2016-07-01,,1,True,,ASSESSOR
ENT_008501,1006 0 65,OWNS,PRIMARY,100.0,2003-01-15,,300000,True,,ASSESSOR
ENT_003868,1006 0 66,OWNS,PRIMARY,100.0,2024-10-23,,100,True,,ASSESSOR
ENT_004834,1006 0 67,OWNS,PRIMARY,100.0,2019-11-05,,755000,True,,ASSESSOR
