relationship_id,:START_ID(Permit),:END_ID(Property),issue_date,permit_type,estimated_cost:long,relationship_type,source_system,source_load_ts,:TYPE
PERMIT_PROP_1000089_2025 0 5,1000089,2025 0 5,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.413904,ISSUED_FOR
PERMIT_PROP_1000090_1083 0 17,1000090,1083 0 17,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.414007,ISSUED_FOR
PERMIT_PROP_1000091_3028D 0 69,1000091,3028D 0 69,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.414103,ISSUED_FOR
PERMIT_PROP_1000092_1001 0 167,1000092,1001 0 167,2025-06-13,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.414198,ISSUED_FOR
PERMIT_PROP_1000093_1105 0 61,1000093,1105 0 61,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.414294,ISSUED_FOR
PERMIT_PROP_1000095_1068 0 16,1000095,1068 0 16,2025-06-10,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.414448,ISSUED_FOR
PERMIT_PROP_1000096_3049 0 5,1000096,3049 0 5,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.414547,ISSUED_FOR
PERMIT_PROP_1000097_1032 0 3,1000097,1032 0 3,2025-06-09,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.414644,ISSUED_FOR
PERMIT_PROP_1000098_1015 0 17,1000098,1015 0 17,2025-06-09,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.414740,ISSUED_FOR
PERMIT_PROP_1000099_3049 0 14,1000099,3049 0 14,2025-06-09,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.414838,ISSUED_FOR
PERMIT_PROP_1000100_1014 0 1,1000100,1014 0 1,2025-06-09,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.414935,ISSUED_FOR
PERMIT_PROP_1000101_1107 0 1I,1000101,1107 0 1I,2025-06-09,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.415032,ISSUED_FOR
PERMIT_PROP_1000103_1027 0 23A,1000103,1027 0 23A,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.415187,ISSUED_FOR
PERMIT_PROP_1000104_3003 0 38,1000104,3003 0 38,2025-06-09,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.415283,ISSUED_FOR
PERMIT_PROP_1000105_3049 0 14,1000105,3049 0 14,2025-06-06,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.415379,ISSUED_FOR
PERMIT_PROP_1000106_3051 0 14,1000106,3051 0 14,2025-06-06,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.415475,ISSUED_FOR
PERMIT_PROP_1000107_2057 0 15,1000107,2057 0 15,2025-06-06,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.415571,ISSUED_FOR
PERMIT_PROP_1000108_3049 0 6,1000108,3049 0 6,2025-06-06,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.415667,ISSUED_FOR
PERMIT_PROP_1000109_1080 0 20,1000109,1080 0 20,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.415763,ISSUED_FOR
PERMIT_PROP_1000110_1016 0 21,1000110,1016 0 21,2025-06-09,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.415858,ISSUED_FOR
PERMIT_PROP_1000111_2063 0 3C,1000111,2063 0 3C,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.415955,ISSUED_FOR
PERMIT_PROP_1000113_2007 0 34,1000113,2007 0 34,2025-06-06,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.416108,ISSUED_FOR
PERMIT_PROP_1000114_1006 0 14,1000114,1006 0 14,2025-06-09,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.416207,ISSUED_FOR
PERMIT_PROP_1000115_1095 0 2A,1000115,1095 0 2A,2025-06-09,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.416305,ISSUED_FOR
