relationship_id,:END_ID(Permit),:START_ID(Contractor),work_start_date,work_category,contract_value:long,contractor_role,relationship_type,source_system,source_load_ts,:TYPE
PERMIT_CONT_1000187_1293274861.0,1000187,1293274861.0,2025-06-02,ELECTRICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.534624,WORKED_ON
PERMIT_CONT_1000188_2432148709.0,1000188,2432148709.0,2025-06-02,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.534713,WORKED_ON
PERMIT_CONT_1000192_4150109148.0,1000192,4150109148.0,2025-06-03,OTHER,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.534967,WORKED_ON
PERMIT_CONT_1000197_1944164139.0,1000197,1944164139.0,2025-05-30,PLUMBING,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.535306,WORKED_ON
PERMIT_CONT_1000198_2428236374.0,1000198,2428236374.0,2025-05-30,PLUMBING,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.535498,WORKED_ON
PERMIT_CONT_1000199_2100026789.0,1000199,2100026789.0,2025-06-03,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.535626,WORKED_ON
PERMIT_CONT_1000200_2461589756.0,1000200,2461589756.0,2025-06-02,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.535735,WORKED_ON
PERMIT_CONT_1000205_3611639234.0,1000205,3611639234.0,2025-06-02,ELECTRICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.536064,WORKED_ON
PERMIT_CONT_1000211_1397544140.0,1000211,1397544140.0,2025-06-05,ELECTRICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.536431,WORKED_ON
PERMIT_CONT_1000212_3529642495.0,1000212,3529642495.0,2025-06-03,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.536524,WORKED_ON
PERMIT_CONT_1000213_521858063.0,1000213,521858063.0,2025-05-30,EXTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.536616,WORKED_ON
PERMIT_CONT_1000215_3661365642.0,1000215,3661365642.0,2025-06-02,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.536762,WORKED_ON
PERMIT_CONT_1000217_3066450670.0,1000217,3066450670.0,2025-06-11,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.536913,WORKED_ON
